                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1709,                 0.8147,                 1.1488,                0.82926,                0.75039,                0.80205,                0.55657,                 1.1056,                0.66764,                 1.1036,               0.003268,               0.003268,               0.003268
                     37,                 1.1668,                0.80455,                 1.1436,                0.82799,                0.74833,                0.80144,                0.55922,                 1.1034,                0.66304,                 1.1023,                0.00307,                0.00307,                0.00307
                     38,                 1.1581,                0.80326,                 1.1444,                0.83093,                0.74958,                0.80423,                0.56005,                 1.1012,                0.66044,                 1.1014,               0.002872,               0.002872,               0.002872
                     39,                 1.1533,                0.79876,                 1.1456,                0.83294,                0.74517,                0.80589,                0.56345,                 1.1006,                0.65871,                 1.1008,               0.002674,               0.002674,               0.002674
                     40,                  1.142,                0.78856,                  1.141,                0.82246,                0.75736,                0.80776,                0.56505,                 1.1013,                0.65695,                 1.1001,               0.002476,               0.002476,               0.002476
                     41,                  1.117,                0.72274,                   1.14,                 0.8322,                0.76134,                0.80925,                0.56729,                 1.0969,                0.65229,                  1.098,               0.002278,               0.002278,               0.002278
                     42,                  1.109,                0.71136,                 1.1345,                0.84151,                0.75948,                0.81291,                0.57039,                  1.095,                0.64932,                 1.0971,                0.00208,                0.00208,                0.00208
                     43,                 1.1023,                0.70197,                 1.1332,                0.83402,                 0.7632,                0.81346,                0.57138,                 1.0934,                  0.646,                 1.0958,               0.001882,               0.001882,               0.001882
                     44,                 1.0967,                0.69367,                 1.1286,                0.82825,                0.76648,                0.81277,                0.57327,                 1.0916,                0.64303,                  1.095,               0.001684,               0.001684,               0.001684
                     45,                 1.0901,                0.68489,                 1.1227,                0.83634,                0.76678,                0.81496,                0.57459,                 1.0908,                0.64067,                 1.0944,               0.001486,               0.001486,               0.001486
                     46,                 1.0804,                0.67855,                 1.1175,                0.83875,                0.76818,                0.81732,                0.57617,                 1.0898,                0.63831,                 1.0936,               0.001288,               0.001288,               0.001288
                     47,                 1.0754,                0.66913,                 1.1154,                0.84969,                0.75885,                0.81807,                0.57724,                 1.0884,                0.63615,                 1.0926,                0.00109,                0.00109,                0.00109
                     48,                 1.0742,                0.66896,                 1.1125,                0.84736,                 0.7666,                0.81982,                0.57777,                 1.0873,                0.63451,                 1.0917,               0.000892,               0.000892,               0.000892
                     49,                 1.0665,                0.65826,                 1.1067,                0.85608,                0.75913,                0.82087,                0.57886,                 1.0857,                0.63324,                 1.0906,               0.000694,               0.000694,               0.000694
                     50,                 1.0582,                0.65097,                 1.1023,                0.85353,                0.76083,                0.82142,                0.58019,                 1.0847,                0.63211,                   1.09,               0.000496,               0.000496,               0.000496
