                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1177,                0.75166,                 1.1185,                0.82232,                0.74925,                0.80141,                 0.5542,                  1.098,                0.65829,                 1.1001,             0.00013888,             0.00013888,             0.00013888
                      2,                 1.1368,                0.76582,                 1.1285,                0.80906,                0.73192,                0.79111,                0.54241,                 1.1315,                0.67819,                 1.1174,             0.00026413,             0.00026413,             0.00026413
                      3,                 1.1463,                0.78766,                 1.1394,                 0.8237,                 0.7322,                0.78927,                0.53806,                 1.1281,                0.68688,                 1.1138,             0.00037561,             0.00037561,             0.00037561
                      4,                 1.1509,                0.79012,                 1.1369,                0.82934,                0.73437,                0.79245,                0.53997,                  1.129,                0.68089,                 1.1175,             0.00035508,             0.00035508,             0.00035508
                      5,                   1.15,                0.78477,                 1.1373,                0.82002,                0.73344,                0.79296,                0.54193,                 1.1466,                0.67762,                 1.1204,             0.00035508,             0.00035508,             0.00035508
                      6,                  1.143,                0.77969,                 1.1369,                  0.819,                0.73249,                0.79466,                0.54627,                 1.1098,                 0.6761,                 1.1083,             0.00033443,             0.00033443,             0.00033443
                      7,                 1.1306,                0.77289,                 1.1311,                0.84018,                0.73686,                0.79846,                0.54865,                 1.1371,                0.66876,                 1.1134,             0.00031379,             0.00031379,             0.00031379
                      8,                 1.1327,                0.76232,                 1.1271,                0.84053,                0.75169,                0.80479,                0.55429,                 1.1241,                0.65999,                 1.1126,             0.00029315,             0.00029315,             0.00029315
                      9,                  1.126,                0.75543,                 1.1257,                0.83176,                0.74589,                0.80267,                0.55731,                 1.1041,                 0.6551,                 1.1041,             0.00027251,             0.00027251,             0.00027251
                     10,                 1.1249,                0.75388,                 1.1232,                0.81164,                0.75798,                0.80393,                0.55535,                 1.0955,                0.65066,                 1.0989,             0.00025187,             0.00025187,             0.00025187
                     11,                 1.0843,                0.68302,                 1.1194,                0.85505,                0.74511,                0.81055,                0.56404,                 1.0913,                0.64574,                 1.0988,             0.00023123,             0.00023123,             0.00023123
                     12,                 1.0797,                0.66874,                 1.1149,                0.84804,                0.75414,                0.81395,                0.56778,                 1.0954,                0.63868,                 1.0956,             0.00021059,             0.00021059,             0.00021059
                     13,                 1.0725,                0.66081,                 1.1112,                0.84869,                0.76786,                0.82035,                0.57455,                 1.0817,                0.63111,                 1.0905,             0.00018994,             0.00018994,             0.00018994
                     14,                 1.0683,                0.65452,                 1.1085,                0.86218,                0.75209,                0.81915,                0.57241,                 1.0936,                0.63358,                 1.0927,              0.0001693,              0.0001693,              0.0001693
                     15,                 1.0609,                0.64918,                 1.1045,                0.85968,                0.75399,                0.82075,                0.57971,                 1.0854,                0.62519,                 1.0882,             0.00014866,             0.00014866,             0.00014866
                     16,                 1.0565,                0.64044,                  1.102,                0.85731,                0.76071,                0.82477,                0.58258,                 1.0831,                0.62341,                  1.086,             0.00012802,             0.00012802,             0.00012802
                     17,                 1.0507,                 0.6333,                 1.0942,                0.85039,                0.76444,                0.82447,                0.58187,                 1.0966,                0.62319,                 1.0908,             0.00010738,             0.00010738,             0.00010738
                     18,                 1.0456,                0.62959,                 1.0962,                 0.8536,                 0.7696,                0.82485,                0.58426,                 1.0841,                0.61741,                 1.0843,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     19,                 1.0417,                0.62567,                 1.0909,                0.85804,                0.76773,                0.82609,                0.58912,                  1.071,                0.61295,                 1.0805,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     20,                 1.0361,                0.61603,                 1.0873,                0.86774,                 0.7687,                0.83066,                0.59065,                  1.076,                0.60958,                 1.0825,             4.5453e-05,             4.5453e-05,             4.5453e-05
