                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.0789,                 2.3943,                 2.3693,                0.15737,                0.17308,                0.19938,                0.09084,                 3.1004,                 2.9097,                 2.9493,              0.0011389,              0.0011389,              0.0011389
                     35,                 3.1223,                 2.3996,                 2.4053,                0.31676,                0.15385,                0.22851,                0.11323,                 2.9489,                 2.9462,                 2.8586,              0.0011224,              0.0011224,              0.0011224
                     36,                 3.0809,                 2.4996,                 2.4552,                0.29474,                0.17308,                0.19791,                0.06049,                   3.12,                 3.2877,                 2.9776,              0.0011059,              0.0011059,              0.0011059
                     37,                  3.074,                 2.4231,                 2.4149,                0.74981,                   0.25,                0.22553,                0.08465,                 3.0531,                 3.2294,                 2.8491,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.9489,                 2.3311,                 2.3627,                0.86438,                0.23077,                0.25576,                0.08428,                 2.9948,                 3.0443,                 2.7869,              0.0010729,              0.0010729,              0.0010729
                     39,                 3.1125,                 2.2581,                 2.2878,                0.91115,                0.21154,                0.25168,                0.08873,                 3.0018,                 2.8961,                 2.7464,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.9688,                 2.3202,                 2.3411,                0.30445,                0.21154,                0.25173,                0.09687,                 3.0269,                 2.7378,                 2.6958,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.9465,                 2.3194,                 2.2433,                0.32838,                0.25781,                0.27569,                0.10789,                 2.9884,                   2.86,                 2.6341,              0.0010234,              0.0010234,              0.0010234
                     42,                 2.9695,                 2.2473,                 2.2361,                 0.3582,                0.24315,                0.27513,                0.11141,                 2.9044,                 2.8321,                 2.6129,              0.0010069,              0.0010069,              0.0010069
                     43,                 2.9372,                 2.2014,                 2.2136,                0.37233,                   0.25,                0.26586,                0.10914,                 2.9466,                 2.8323,                 2.6501,             0.00099036,             0.00099036,             0.00099036
                     44,                 3.0917,                 2.2206,                  2.178,                0.94411,                0.15293,                0.19505,                0.06606,                 3.0577,                 2.9126,                 2.6948,             0.00097386,             0.00097386,             0.00097386
                     45,                  2.929,                 2.2919,                 2.1673,                0.92297,                0.15385,                   0.19,                0.05439,                 3.0841,                 2.9202,                 2.7241,             0.00095736,             0.00095736,             0.00095736
                     46,                 2.8703,                 2.2502,                 2.1351,                0.85648,                0.17308,                0.21778,                0.06037,                 3.0261,                 2.8723,                 2.7007,             0.00094085,             0.00094085,             0.00094085
                     47,                 2.8519,                 2.1172,                 2.0872,                 0.8895,                0.17308,                  0.229,                0.07009,                 2.9476,                 2.8183,                 2.6308,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.9091,                 2.1732,                 2.1456,                0.86217,                0.21154,                0.27868,                0.12091,                 2.8669,                 2.6814,                 2.5232,             0.00090785,             0.00090785,             0.00090785
                     49,                 2.9712,                 2.3139,                 2.2454,                0.90187,                0.23653,                0.30732,                  0.132,                 2.8818,                 2.6755,                 2.5506,             0.00089134,             0.00089134,             0.00089134
                     50,                 2.9081,                 2.1899,                 2.1346,                0.86683,                   0.25,                 0.3027,                0.12817,                 2.9059,                 2.6154,                 2.5666,             0.00087484,             0.00087484,             0.00087484
                     51,                 2.8613,                 2.1396,                 2.1429,                0.83818,                0.28846,                0.29841,                0.11665,                 2.9806,                  2.649,                 2.5989,             0.00085834,             0.00085834,             0.00085834
                     52,                 2.8787,                 2.2467,                 2.1907,                0.20148,                0.21154,                0.14234,                0.04928,                 3.1964,                 2.7866,                 2.7477,             0.00084184,             0.00084184,             0.00084184
                     53,                 2.9093,                   2.14,                 2.1088,                0.17542,                0.22871,                0.15596,                0.05841,                 3.2274,                 2.7655,                 2.7538,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.9261,                 2.1073,                 2.0951,                0.35851,                0.19231,                0.24316,                0.09654,                 3.1068,                 2.7223,                 2.6558,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.8651,                 2.1954,                 2.1139,                0.43061,                   0.25,                0.27178,                0.09925,                 2.9981,                 2.7074,                 2.5468,             0.00079233,             0.00079233,             0.00079233
                     56,                 2.8543,                 2.1865,                 2.1372,                0.90448,                0.21154,                0.27628,                0.09674,                 2.8295,                 2.7438,                 2.4785,             0.00077582,             0.00077582,             0.00077582
                     57,                 2.8664,                 2.2679,                 2.2311,                0.85664,                0.21154,                0.28268,                 0.1035,                 2.8057,                 2.8069,                 2.4526,             0.00075932,             0.00075932,             0.00075932
                     58,                 2.8679,                 2.1351,                 2.1054,                 0.8589,                0.21154,                0.28422,                0.11297,                 2.7831,                  2.854,                 2.4448,             0.00074282,             0.00074282,             0.00074282
                     59,                 2.7568,                 2.1085,                 2.0261,                0.85545,                0.21154,                0.27625,                0.11089,                 2.7794,                 2.8097,                  2.444,             0.00072631,             0.00072631,             0.00072631
                     60,                 2.7122,                 1.9939,                  2.007,                0.97628,                0.17308,                0.26702,                0.11249,                 2.8065,                 2.7319,                 2.4806,             0.00070981,             0.00070981,             0.00070981
                     61,                 2.8611,                 2.1643,                 2.1553,                 0.8404,                0.15385,                0.24422,                0.11533,                 2.8204,                 2.6678,                 2.4819,             0.00069331,             0.00069331,             0.00069331
                     62,                 2.7766,                 2.1034,                 2.0721,                0.79347,                0.21154,                0.23888,                0.11604,                 2.8566,                 2.6869,                 2.5041,              0.0006768,              0.0006768,              0.0006768
                     63,                  2.824,                 1.9969,                 1.9746,                0.84143,                0.21154,                0.25403,                0.12011,                 2.8823,                 2.7505,                  2.513,              0.0006603,              0.0006603,              0.0006603
                     64,                 2.7906,                 2.1339,                 2.0818,                0.82258,                0.24494,                 0.2533,                 0.1011,                 3.0331,                 2.7043,                 2.5867,              0.0006438,              0.0006438,              0.0006438
                     65,                 2.7069,                 2.0888,                 2.0722,                0.76238,                0.23368,                0.24337,                0.09818,                 3.0697,                 2.6527,                  2.584,             0.00062729,             0.00062729,             0.00062729
                     66,                 2.7154,                 2.1285,                 2.1028,                0.96435,                0.17308,                0.22966,                0.09449,                 3.0744,                 2.6484,                 2.5841,             0.00061079,             0.00061079,             0.00061079
                     67,                 2.7614,                 2.0433,                 2.0707,                0.94524,                0.15659,                0.23333,                0.10623,                 3.0539,                 2.6223,                  2.571,             0.00059429,             0.00059429,             0.00059429
                     68,                  2.757,                 2.0523,                 2.0863,                0.78464,                   0.25,                0.29272,                0.12305,                 2.9942,                 2.5074,                 2.5177,             0.00057778,             0.00057778,             0.00057778
                     69,                 2.6698,                 2.0566,                 2.0826,                0.87432,                0.28648,                 0.3164,                0.13193,                 2.9308,                 2.4746,                 2.4602,             0.00056128,             0.00056128,             0.00056128
                     70,                 2.7295,                  2.023,                 2.0385,                0.81158,                   0.25,                0.29944,                0.11023,                 2.9248,                  2.491,                 2.4559,             0.00054478,             0.00054478,             0.00054478
                     71,                 2.7522,                  2.031,                 1.9905,                 0.7563,                0.21154,                0.25622,                0.08953,                 2.9019,                 2.5191,                 2.4565,             0.00052827,             0.00052827,             0.00052827
                     72,                 2.6616,                 2.0121,                 1.9643,                0.93002,                0.19231,                0.27357,                0.06818,                 2.9404,                  2.618,                 2.4799,             0.00051177,             0.00051177,             0.00051177
                     73,                 2.6896,                  2.059,                  2.054,                0.98945,                0.17308,                0.25395,                0.07141,                  2.962,                 2.5929,                 2.4769,             0.00049527,             0.00049527,             0.00049527
                     74,                 2.6899,                 1.9988,                 1.9916,                0.94782,                0.15385,                0.24957,                0.09265,                 2.9639,                 2.5815,                 2.4775,             0.00047876,             0.00047876,             0.00047876
                     75,                 2.5954,                 1.9058,                 1.9646,                0.97676,                0.15385,                0.25174,                0.10865,                 2.9548,                 2.5608,                 2.4684,             0.00046226,             0.00046226,             0.00046226
                     76,                 2.7742,                 2.0048,                 2.0326,                0.85093,                   0.25,                0.28468,                0.12113,                  3.036,                 2.5603,                 2.4986,             0.00044576,             0.00044576,             0.00044576
                     77,                 2.7543,                 2.0184,                 2.0598,                0.90824,                0.21154,                0.29563,                0.11876,                 2.9942,                 2.5691,                 2.4695,             0.00042925,             0.00042925,             0.00042925
                     78,                 2.6214,                 1.9494,                 1.9295,                 0.9637,                0.24587,                0.29167,                0.10894,                 2.9602,                 2.5967,                 2.4619,             0.00041275,             0.00041275,             0.00041275
                     79,                 2.6284,                 1.9241,                 1.8996,                0.97631,                   0.25,                0.28865,                0.09572,                 2.9445,                 2.5988,                 2.4676,             0.00039625,             0.00039625,             0.00039625
                     80,                 2.6647,                 1.9758,                 2.0304,                      1,                0.24869,                0.30594,                0.10134,                 2.9561,                 2.5077,                 2.4707,             0.00037974,             0.00037974,             0.00037974
                     81,                 2.6225,                 1.9227,                 1.9502,                0.94708,                   0.25,                0.31572,                0.12205,                 2.9512,                  2.486,                 2.4717,             0.00036324,             0.00036324,             0.00036324
                     82,                 2.6413,                 1.9278,                 1.9495,                 0.8256,                0.28846,                0.31149,                0.13899,                 2.9469,                 2.4507,                 2.4756,             0.00034674,             0.00034674,             0.00034674
                     83,                 2.6316,                 1.9139,                 1.9601,                0.81236,                0.28846,                0.30739,                0.14717,                 2.9233,                 2.4511,                 2.4796,             0.00033023,             0.00033023,             0.00033023
                     84,                  2.697,                 1.9208,                 1.9972,                0.82172,                0.32692,                 0.3137,                0.15162,                 2.9097,                  2.487,                 2.4671,             0.00031373,             0.00031373,             0.00031373
